variable,beta
bedrooms_norm,0.07970067360395648
accommodates_norm,0.06875240830228309
beds_norm,-0.038583800510436986
property_type_norm,0.02527228969492036
room_type_norm,-0.013509474470656438
latitude_norm,-0.006464419171461387
longitude_norm,0.0027848736228489176
instant_bookable_numeric_norm,0.00258909536639893
host_response_rate_norm,-0.0015362001103279435
host_acceptance_rate_norm,0.00023422471861840296
neighbourhood_cleansed_norm,-5.1966627445144097e-05
