host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
100%,100%,t,1.0,1.0,t,Sants,41.37155,2.13664,Entire rental unit,Entire home/apt,2,1.0,1.0,$140.00,3,1125,2.0,3.0,1125.0,1125.0,3.0,1125.0,6,19,49,317,472,39,4,61,36,234,32760.0,4.85,4.89,4.93,4.94,4.91,4.73,4.8,f,1,2.76
100%,50%,t,1.0,2.0,t,el Poblenou,41.39787,2.20429,Entire rental unit,Entire home/apt,6,3.0,3.0,$175.00,1,330,1.0,1.0,330.0,330.0,1.0,330.0,11,34,64,244,195,47,2,82,34,255,44625.0,4.72,4.79,4.74,4.73,4.82,4.87,4.63,f,1,1.15
90%,97%,t,3.0,8.0,t,Pedralbes,41.38832,2.12201,Private room in rental unit,Private room,1,1.0,1.0,$45.00,32,1125,5.0,32.0,1125.0,1125.0,30.9,1125.0,2,2,17,292,145,9,1,36,4,255,11475.0,4.63,4.61,4.56,4.81,4.79,4.8,4.62,f,3,0.85
100%,84%,f,4.0,6.0,t,Sant Antoni,41.38189,2.15857,Private room in rental unit,Private room,2,1.0,1.0,$81.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,6,6,6,6,41,0,0,6,0,0,0.0,4.34,4.08,4.56,4.29,4.5,4.64,4.11,f,4,0.24
100%,62%,t,2.0,2.0,t,el GuinardÃ³,41.42337,2.1749,Private room in rental unit,Private room,1,1.0,1.0,$17.00,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,17,24,54,240,135,3,1,73,1,186,3162.0,4.27,4.53,4.21,4.74,4.55,4.59,4.38,f,2,1.07
100%,97%,t,10.0,10.0,t,el Clot,41.40671,2.18592,Entire rental unit,Entire home/apt,4,2.0,2.0,$154.00,3,330,2.0,7.0,7.0,330.0,3.2,326.5,3,13,40,63,146,31,3,59,30,186,28644.0,4.84,4.87,4.79,4.91,4.96,4.82,4.62,f,10,0.97
100%,97%,t,10.0,10.0,t,el Clot,41.40681,2.18553,Entire rental unit,Entire home/apt,3,2.0,2.0,$154.00,3,330,2.0,7.0,330.0,330.0,3.2,330.0,1,12,42,65,99,29,4,61,17,174,26796.0,4.77,4.8,4.73,4.94,4.94,4.82,4.6,f,10,1.15
100%,99%,t,7.0,20.0,t,la Sagrada FamÃ­lia,41.40653,2.17455,Entire rental unit,Entire home/apt,8,3.0,6.0,$319.00,32,32,1.0,3.0,100.0,100.0,1.9,100.0,2,9,28,34,48,12,2,34,13,255,81345.0,4.52,4.54,4.63,4.6,4.73,4.85,4.5,f,6,0.4
100%,85%,f,2.0,11.0,t,l'Antiga Esquerra de l'Eixample,41.38842,2.16108,Entire rental unit,Entire home/apt,8,4.0,5.0,$463.00,2,60,1.0,5.0,60.0,60.0,3.9,60.0,2,8,28,248,486,53,5,34,58,255,118065.0,4.95,4.93,4.93,4.99,4.96,4.94,4.91,f,2,2.86
100%,97%,t,3.0,15.0,t,la Vila de GrÃ cia,41.40661,2.15115,Entire rental unit,Entire home/apt,3,1.0,2.0,$41.00,31,300,31.0,31.0,1125.0,1125.0,31.0,1125.0,5,9,30,89,364,3,1,35,7,186,7626.0,4.54,4.59,4.71,4.84,4.82,4.71,4.52,f,3,2.18
