host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
100%,92%,f,118.0,133.0,t,la Maternitat i Sant Ramon,41.37998,2.12565,Entire rental unit,Entire home/apt,8,4.0,7.0,$164.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,12,42,317,29,0,0,60,0,0,0.0,4.1,4.14,4.1,4.48,4.52,4.24,4.14,t,85,0.25
100%,92%,f,7.0,7.0,t,el Poble Sec,41.37361,2.17015,Entire rental unit,Entire home/apt,4,2.0,2.0,$221.00,6,28,4.0,6.0,1125.0,1125.0,6.0,1125.0,11,41,71,180,83,5,0,89,14,60,13260.0,4.63,4.8,4.67,4.87,4.98,4.71,4.49,t,2,0.65
96%,91%,f,41.0,46.0,t,la Nova Esquerra de l'Eixample,41.38432,2.14665,Entire rental unit,Entire home/apt,5,2.0,3.0,$129.00,1,1125,1.0,4.0,999.0,999.0,3.0,999.0,11,37,66,74,120,19,2,72,27,114,14706.0,4.42,4.67,4.68,4.66,4.69,4.66,4.28,t,26,1.06
100%,94%,f,3.0,3.0,t,el Raval,41.38466,2.16641,Entire rental unit,Entire home/apt,2,1.0,4.0,$50.00,180,300,180.0,180.0,300.0,300.0,180.0,300.0,0,0,0,226,2,0,0,0,0,0,0.0,4.0,3.5,5.0,4.0,5.0,5.0,4.5,f,3,0.02
100%,76%,t,25.0,25.0,t,el Camp d'en Grassot i GrÃ cia Nova,41.40255,2.16553,Entire loft,Entire home/apt,8,4.0,7.0,$263.00,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,10,25,55,99,378,47,1,69,52,255,67065.0,4.92,4.93,4.91,4.97,4.94,4.83,4.85,f,24,2.98
98%,80%,t,6.0,11.0,t,la Dreta de l'Eixample,41.39225,2.16607,Entire rental unit,Entire home/apt,10,5.0,7.0,$414.00,1,1124,1.0,4.0,1124.0,1124.0,3.1,1124.0,11,34,61,322,386,32,3,73,29,192,79488.0,4.75,4.76,4.66,4.84,4.9,4.98,4.71,f,6,2.97
90%,96%,t,2.0,2.0,t,la Dreta de l'Eixample,41.39829,2.16392,Entire rental unit,Entire home/apt,2,1.0,2.0,$170.00,4,30,1.0,4.0,1125.0,1125.0,4.0,1125.0,3,7,20,189,334,34,4,28,34,255,43350.0,4.87,4.92,4.83,4.89,4.94,4.9,4.77,f,1,2.59
100%,77%,t,1.0,1.0,t,el Poble Sec,41.37392,2.16261,Entire rental unit,Entire home/apt,3,2.0,2.0,$128.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,10,19,22,266,464,52,1,30,43,255,32640.0,4.68,4.75,4.71,4.84,4.89,4.82,4.59,f,1,3.62
100%,100%,t,8.0,8.0,t,la Vila de GrÃ cia,41.40214,2.15805,Room in serviced apartment,Hotel room,4,1.0,1.0,$228.00,2,230,2.0,3.0,7.0,7.0,2.2,7.0,12,41,62,319,227,28,3,80,26,168,38304.0,4.81,4.81,4.77,4.72,4.88,4.89,4.7,t,6,1.82
100%,99%,t,3.0,4.0,t,la Vila de GrÃ cia,41.40628,2.15385,Private room in rental unit,Private room,1,1.0,1.0,$47.00,1,730,1.0,1.0,730.0,730.0,1.0,730.0,0,1,7,7,100,1,1,7,0,6,282.0,4.74,4.81,4.92,4.94,4.96,4.88,4.77,f,3,0.77
100%,98%,t,1.0,1.0,t,la Vila de GrÃ cia,41.40805,2.15657,Entire rental unit,Entire home/apt,4,2.0,3.0,$154.00,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,4,13,43,261,287,48,2,51,44,255,39270.0,4.84,4.92,4.89,4.94,4.94,4.91,4.74,f,1,2.27
100%,99%,t,16.0,17.0,t,la Vila de GrÃ cia,41.40334,2.15336,Entire loft,Entire home/apt,6,3.0,5.0,$195.00,3,31,2.0,6.0,364.0,1125.0,3.3,881.1,6,14,43,149,503,43,2,54,46,255,49725.0,4.77,4.8,4.8,4.92,4.93,4.89,4.71,f,10,3.9
100%,100%,f,16.0,18.0,t,la Dreta de l'Eixample,41.39035,2.17606,Entire rental unit,Entire home/apt,15,6.0,14.0,$428.00,6,300,1.0,6.0,300.0,300.0,4.1,300.0,0,6,13,170,164,29,1,18,34,255,109140.0,4.68,4.71,4.69,4.83,4.79,4.93,4.69,t,16,1.29
98%,97%,f,41.0,58.0,t,la Vila de GrÃ cia,41.39996,2.16339,Entire rental unit,Entire home/apt,6,2.0,4.0,$225.00,3,1125,1.0,5.0,1125.0,1125.0,1.6,1125.0,9,21,51,69,123,28,1,69,27,168,37800.0,4.38,4.46,4.41,4.72,4.8,4.72,4.24,t,39,0.98
100%,94%,f,1.0,1.0,t,Sant Antoni,41.38078,2.15848,Entire rental unit,Entire home/apt,4,2.0,3.0,$126.00,4,1125,3.0,6.0,1125.0,1125.0,4.1,1125.0,0,3,22,32,190,24,1,32,33,192,24192.0,4.57,4.79,4.25,4.9,4.85,4.86,4.56,f,1,1.48
100%,100%,f,1.0,1.0,t,la Sagrada FamÃ­lia,41.40686,2.17605,Entire rental unit,Entire home/apt,5,3.0,5.0,$143.00,2,1125,1.0,2.0,1125.0,1125.0,2.0,1125.0,10,26,56,146,374,45,3,74,47,255,36465.0,4.58,4.55,4.6,4.83,4.92,4.84,4.46,t,1,2.92
100%,97%,t,2.0,2.0,t,la Sagrada FamÃ­lia,41.40394327506517,2.1734717534194887,Entire rental unit,Entire home/apt,4,2.0,3.0,$319.00,2,5,1.0,3.0,5.0,1125.0,2.3,800.3,2,13,39,292,442,51,4,51,65,255,81345.0,4.77,4.88,4.79,4.86,4.88,4.94,4.68,f,2,3.44
100%,97%,t,2.0,2.0,t,la Sagrada FamÃ­lia,41.40424933553857,2.1738676062900195,Entire rental unit,Entire home/apt,4,2.0,3.0,$312.00,3,5,1.0,3.0,5.0,1125.0,2.8,867.8,2,10,40,300,477,57,3,56,59,255,79560.0,4.85,4.92,4.86,4.85,4.88,4.95,4.71,f,2,3.74
80%,32%,f,25.0,28.0,t,el Poble Sec,41.37295,2.15741,Entire rental unit,Entire home/apt,8,3.0,6.0,$112.00,3,1125,3.0,4.0,1125.0,1125.0,3.0,1125.0,23,53,83,107,10,0,0,101,1,0,0.0,3.5,3.7,3.7,3.4,3.9,3.9,3.0,f,22,0.08
100%,85%,t,1.0,1.0,t,la Sagrada FamÃ­lia,41.4012,2.17531,Entire rental unit,Entire home/apt,5,3.0,4.0,$250.00,3,1125,1.0,3.0,1125.0,1125.0,3.0,1125.0,5,9,25,227,439,74,4,41,80,255,63750.0,4.9,4.92,4.93,4.88,4.91,4.95,4.86,f,1,3.41
98%,99%,t,61.0,61.0,t,la Vila de GrÃ cia,41.39824,2.15938,Entire rental unit,Entire home/apt,4,2.0,3.0,$229.00,1,1125,1.0,9.0,7.0,1125.0,2.4,436.7,10,27,42,52,277,85,6,52,11,255,58395.0,4.71,4.74,4.68,4.78,4.81,4.8,4.58,t,24,2.18
83%,28%,f,426.0,618.0,t,el Barri GÃ²tic,41.38074,2.18071,Entire rental unit,Entire home/apt,5,2.0,4.0,$216.00,2,330,2.0,2.0,330.0,330.0,2.0,330.0,30,60,90,365,0,0,0,108,0,0,0.0,4.601908396946565,4.648958351005175,4.62437950631945,4.7144770548816695,4.713702290076336,4.749703138252756,4.453307039864292,f,413,1.6996607294317219
100%,99%,t,4.0,4.0,t,la Vila de GrÃ cia,41.4066,2.15674,Entire rental unit,Entire home/apt,4,1.0,2.0,$130.00,2,1125,1.0,2.0,1125.0,1125.0,1.9,1125.0,0,1,6,71,749,76,5,10,85,255,33150.0,4.85,4.9,4.88,4.94,4.93,4.7,4.76,f,4,5.8
100%,100%,t,7.0,7.0,t,la Dreta de l'Eixample,41.38834,2.1707,Entire rental unit,Entire home/apt,10,5.0,9.0,$340.00,1,1125,1.0,7.0,3.0,1125.0,3.1,471.2,6,17,34,267,85,11,2,38,7,66,22440.0,4.82,4.7,4.71,4.86,4.86,4.98,4.66,t,6,0.68
100%,100%,t,7.0,7.0,t,la Dreta de l'Eixample,41.38834,2.1707,Entire rental unit,Entire home/apt,10,5.0,9.0,$340.00,1,1125,1.0,7.0,3.0,1125.0,3.2,491.1,7,25,55,322,99,7,1,73,7,42,14280.0,4.67,4.71,4.68,4.84,4.86,4.96,4.55,t,6,0.78
75%,100%,f,1.0,1.0,t,la Salut,41.40904,2.15063,Entire rental unit,Entire home/apt,2,2.0,2.0,$135.00,2,1125,1.0,2.0,1125.0,1125.0,2.0,1125.0,2,11,36,298,260,23,2,45,39,138,18630.0,4.64,4.66,4.83,4.74,4.83,4.7,4.54,f,1,2.09
100%,100%,t,7.0,8.0,t,el Camp d'en Grassot i GrÃ cia Nova,41.40577,2.16316,Entire rental unit,Entire home/apt,4,2.0,3.0,$160.00,3,31,2.0,5.0,31.0,90.0,2.6,60.1,4,13,43,285,352,47,4,56,55,255,40800.0,4.9,4.93,4.95,4.93,4.94,4.82,4.8,f,7,2.72
100%,99%,f,6.0,6.0,t,la Dreta de l'Eixample,41.397133,2.176212,Shared room in hostel,Shared room,6,1.0,12.0,$300.00,1,365,1.0,1.0,1.0,365.0,1.0,247.9,30,59,89,148,368,51,8,107,32,255,76500.0,4.6,4.71,4.57,4.79,4.73,4.81,4.52,t,6,2.91
100%,100%,t,1.0,11.0,t,la Nova Esquerra de l'Eixample,41.38331,2.15553,Entire condo,Entire home/apt,10,4.0,7.0,$267.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,2,14,39,39,490,86,4,39,87,255,68085.0,4.71,4.77,4.62,4.8,4.77,4.78,4.61,t,1,5.6
100%,100%,f,1.0,2.0,t,Sant Gervasi - Galvany,41.39592,2.14192,Entire rental unit,Entire home/apt,2,1.0,1.0,$203.00,3,730,2.0,3.0,730.0,730.0,2.4,730.0,28,58,88,355,174,14,0,106,27,84,17052.0,4.76,4.8,4.66,4.83,4.89,4.81,4.6,f,1,1.36
100%,100%,t,7.0,7.0,t,ProvenÃ§als del Poblenou,41.40823,2.20331,Entire rental unit,Entire home/apt,8,4.0,7.0,$250.00,1,1125,1.0,7.0,3.0,1125.0,3.2,380.9,16,30,55,330,91,9,1,73,5,54,13500.0,4.75,4.73,4.58,4.69,4.85,4.69,4.61,t,6,0.74
100%,100%,t,7.0,7.0,t,ProvenÃ§als del Poblenou,41.40823,2.20331,Entire rental unit,Entire home/apt,8,4.0,7.0,$250.00,1,1125,1.0,7.0,3.0,1125.0,3.2,433.2,19,42,72,325,90,14,2,81,17,84,21000.0,4.81,4.88,4.77,4.84,4.87,4.62,4.63,t,6,0.71
98%,98%,f,11.0,25.0,t,el Poble Sec,41.3724,2.16707,Entire rental unit,Entire home/apt,2,2.0,2.0,$102.00,1,30,2.0,4.0,8.0,365.0,3.7,259.4,2,6,16,32,231,18,1,31,23,108,11016.0,4.57,4.76,4.75,4.79,4.84,4.81,4.52,t,7,1.82
96%,91%,f,41.0,46.0,t,l'Antiga Esquerra de l'Eixample,41.38848,2.15607,Entire rental unit,Entire home/apt,2,1.0,1.0,$149.00,1,1125,2.0,31.0,999.0,999.0,3.2,999.0,12,30,51,74,169,31,1,68,38,186,27714.0,4.68,4.8,4.64,4.77,4.79,4.85,4.6,f,26,1.37
100%,100%,t,3.0,7.0,t,la Dreta de l'Eixample,41.393337,2.170438,Entire rental unit,Entire home/apt,8,4.0,6.0,$491.00,1,999,1.0,7.0,99.0,99.0,1.9,99.0,2,8,18,34,257,52,2,32,43,255,125205.0,4.82,4.84,4.75,4.92,4.89,4.96,4.73,t,2,2.1
100%,100%,t,4.0,9.0,t,Sant Antoni,41.37515,2.1673,Entire rental unit,Entire home/apt,5,3.0,5.0,$240.00,5,89,5.0,5.0,89.0,89.0,5.0,89.0,7,7,7,169,186,22,1,7,24,220,52800.0,4.78,4.8,4.76,4.98,4.97,4.74,4.67,t,3,1.46
100%,17%,f,1.0,3.0,t,ProvenÃ§als del Poblenou,41.41184,2.1993,Private room,Private room,1,2.0,1.0,$19.00,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,7,21,38,107,55,1,0,38,3,62,1178.0,4.8,4.84,4.65,4.91,4.93,4.73,4.76,f,1,0.43
100%,98%,t,2.0,4.0,t,l'Antiga Esquerra de l'Eixample,41.38961,2.16166,Entire rental unit,Entire home/apt,2,1.0,1.0,$215.00,3,360,3.0,3.0,1125.0,1125.0,3.0,1125.0,7,32,62,337,356,27,0,80,25,162,34830.0,4.92,4.94,4.98,4.94,4.94,4.94,4.8,f,2,2.79
98%,99%,t,61.0,61.0,t,la Sagrada FamÃ­lia,41.40264,2.17367,Entire rental unit,Entire home/apt,4,2.0,3.0,$264.00,1,1125,1.0,9.0,999.0,999.0,2.4,999.0,5,18,42,52,91,33,3,52,13,198,52272.0,4.63,4.74,4.71,4.8,4.73,4.88,4.52,t,24,0.73
100%,99%,f,1.0,1.0,t,el Raval,41.37784,2.16806,Private room in rental unit,Private room,2,1.0,1.0,$57.00,4,730,3.0,4.0,730.0,730.0,4.0,730.0,4,20,50,320,245,5,0,65,47,40,2280.0,4.31,4.49,3.91,4.72,4.75,4.59,4.31,t,1,1.94
98%,99%,t,61.0,61.0,t,el Poble Sec,41.37459,2.17031,Entire loft,Entire home/apt,2,1.0,0.0,$231.00,1,1125,1.0,9.0,999.0,999.0,2.4,999.0,9,26,49,59,186,24,1,59,14,144,33264.0,4.72,4.77,4.77,4.78,4.84,4.75,4.52,t,24,1.5
98%,99%,t,61.0,61.0,t,Diagonal Mar i el Front MarÃ­tim del Poblenou,41.40031,2.20712,Entire rental unit,Entire home/apt,6,2.0,3.0,$288.00,1,1125,1.0,7.0,7.0,1125.0,3.3,436.5,19,37,62,72,188,44,3,72,35,255,73440.0,4.58,4.56,4.56,4.68,4.73,4.74,4.35,t,24,1.55
98%,99%,t,61.0,61.0,t,el Poblenou,41.40153,2.20567,Entire rental unit,Entire home/apt,4,1.0,1.0,$234.00,1,1125,1.0,7.0,7.0,1125.0,3.2,436.5,14,38,63,73,472,82,3,73,38,255,59670.0,4.75,4.78,4.74,4.85,4.89,4.82,4.58,t,24,3.88
100%,100%,f,40.0,85.0,t,Sant Antoni,41.37681831967802,2.161594170891345,Entire rental unit,Entire home/apt,2,2.0,3.0,$142.00,3,1125,2.0,4.0,1125.0,1125.0,3.0,1125.0,8,15,38,310,232,9,1,53,17,54,7668.0,4.38,4.47,4.5,4.71,4.74,4.77,4.28,t,40,1.8
98%,99%,t,61.0,61.0,t,Hostafrancs,41.37544,2.1426,Entire rental unit,Entire home/apt,6,2.0,3.0,$225.00,1,1125,1.0,7.0,7.0,1125.0,1.5,433.5,22,40,65,76,502,155,18,76,92,255,57375.0,4.62,4.67,4.53,4.81,4.72,4.7,4.49,t,24,3.98
100%,100%,f,1.0,1.0,t,Sants,41.38329,2.13948,Entire rental unit,Entire home/apt,5,2.0,2.0,$156.00,2,1125,1.0,3.0,1125.0,1125.0,1.9,1125.0,2,4,4,13,483,74,6,4,70,255,39780.0,4.48,4.6,4.64,4.82,4.86,4.72,4.44,f,1,3.79
98%,99%,t,61.0,61.0,t,el Poblenou,41.40026,2.20409,Entire rental unit,Entire home/apt,4,2.0,3.0,$265.00,1,1125,1.0,7.0,7.0,1125.0,3.3,436.5,15,33,50,57,54,11,0,57,6,66,17490.0,4.61,4.63,4.63,4.74,4.89,4.83,4.48,t,24,0.47
98%,99%,t,61.0,61.0,t,la Nova Esquerra de l'Eixample,41.37853,2.15137,Entire rental unit,Entire home/apt,4,2.0,3.0,$259.00,1,1125,1.0,9.0,999.0,999.0,2.4,999.0,6,19,41,47,55,16,0,47,6,96,24864.0,4.71,4.78,4.78,4.84,4.87,4.89,4.75,t,24,0.49
98%,99%,t,61.0,61.0,t,el Poble Sec,41.37227,2.16432,Entire rental unit,Entire home/apt,4,1.0,1.0,$224.00,1,1125,1.0,9.0,999.0,999.0,2.4,999.0,12,28,49,59,65,7,0,59,1,42,9408.0,4.54,4.55,4.65,4.57,4.75,4.77,4.37,t,24,0.57
100%,94%,t,1.0,1.0,t,el Camp d'en Grassot i GrÃ cia Nova,41.41072,2.15958,Entire rental unit,Entire home/apt,5,2.0,2.0,$154.00,3,1125,3.0,7.0,1125.0,1125.0,3.8,1125.0,7,19,46,310,259,30,5,59,32,180,27720.0,4.9,4.88,4.92,4.94,4.95,4.71,4.8,f,1,2.04
100%,100%,f,4.0,5.0,t,la Vila de GrÃ cia,41.40315,2.16222,Entire rental unit,Entire home/apt,2,2.0,2.0,$234.00,3,1125,4.0,5.0,1125.0,1125.0,4.7,1125.0,4,22,48,153,64,2,0,66,2,12,2808.0,4.59,4.72,4.8,4.71,4.73,4.73,4.44,t,4,0.53
100%,100%,f,4.0,5.0,t,la Vila de GrÃ cia,41.40122,2.15618,Entire rental unit,Entire home/apt,3,2.0,2.0,$239.00,3,1125,2.0,5.0,1125.0,1125.0,4.7,1125.0,4,22,52,157,104,16,2,70,11,96,22944.0,4.68,4.75,4.77,4.78,4.84,4.83,4.61,t,4,0.87
100%,100%,f,4.0,5.0,t,la Vila de GrÃ cia,41.40305,2.16062,Entire rental unit,Entire home/apt,4,2.0,4.0,$306.00,3,1125,4.0,5.0,1125.0,1125.0,4.7,1125.0,3,30,60,165,323,35,1,78,39,210,64260.0,4.75,4.83,4.76,4.85,4.83,4.82,4.59,t,4,2.59
99%,94%,f,282.0,428.0,t,la Dreta de l'Eixample,41.39073181152344,2.164210081100464,Entire rental unit,Entire home/apt,6,2.0,2.0,$180.00,3,1125,1.0,5.0,1125.0,1125.0,4.3,1125.0,7,30,55,326,211,25,2,73,28,150,27000.0,4.52,4.47,4.54,4.84,4.79,4.96,4.41,t,130,1.65
100%,100%,t,2.0,3.0,t,la Vila OlÃ­mpica del Poblenou,41.39137,2.19999,Entire rental unit,Entire home/apt,4,1.0,2.0,$173.00,3,31,2.0,8.0,1125.0,1125.0,4.0,1125.0,4,13,43,275,414,66,4,58,55,255,44115.0,4.95,4.96,4.97,4.97,4.99,4.94,4.85,t,2,3.27
100%,100%,f,1.0,1.0,t,el Poble Sec,41.37354,2.1625,Entire rental unit,Entire home/apt,7,3.0,5.0,$249.00,4,600,2.0,4.0,1125.0,1125.0,3.7,1125.0,12,31,61,322,382,33,3,79,29,255,63495.0,4.8,4.83,4.84,4.87,4.91,4.79,4.68,t,1,2.96
100%,97%,f,7.0,10.0,t,el Poblenou,41.3999,2.19667,Entire rental unit,Entire home/apt,4,2.0,3.0,$189.00,2,30,2.0,2.0,30.0,30.0,2.0,30.0,8,32,62,80,427,32,0,80,47,192,36288.0,4.65,4.76,4.71,4.87,4.87,4.54,4.58,f,7,3.32
100%,100%,t,10.0,18.0,t,la Sagrada FamÃ­lia,41.40255,2.17716,Entire rental unit,Entire home/apt,3,1.0,2.0,$134.00,3,60,3.0,7.0,1125.0,1125.0,5.7,1125.0,4,15,43,305,280,30,1,55,44,180,24120.0,4.79,4.85,4.77,4.89,4.93,4.84,4.66,t,9,2.23
100%,93%,f,31.0,52.0,t,la Vila de GrÃ cia,41.40012,2.15987,Entire rental unit,Entire home/apt,4,1.0,1.0,$169.00,1,1125,2.0,6.0,365.0,365.0,3.1,365.0,6,19,43,273,146,12,1,61,12,72,12168.0,4.53,4.63,4.74,4.64,4.66,4.81,4.36,t,28,1.16
100%,98%,f,1.0,1.0,t,la Barceloneta,41.38151,2.18696,Entire townhouse,Entire home/apt,8,4.0,6.0,$309.00,3,30,1.0,5.0,1125.0,1125.0,3.0,1125.0,6,14,37,80,339,17,0,49,30,102,31518.0,4.67,4.7,4.7,4.78,4.85,4.86,4.68,f,1,2.71
100%,99%,f,40.0,111.0,t,la Dreta de l'Eixample,41.39061,2.16488,Entire rental unit,Entire home/apt,4,1.0,3.0,$198.00,1,1125,2.0,7.0,365.0,365.0,6.6,365.0,20,50,80,98,92,21,2,98,26,126,24948.0,4.68,4.72,4.64,4.86,4.8,4.96,4.53,t,40,0.81
100%,98%,t,1.0,1.0,t,la Vila de GrÃ cia,41.39991,2.16363,Entire rental unit,Entire home/apt,5,3.0,4.0,$251.00,3,20,3.0,3.0,1125.0,1125.0,3.0,1125.0,4,18,48,214,307,33,4,59,39,198,49698.0,4.88,4.92,4.92,4.97,4.98,4.88,4.77,t,1,2.39
99%,94%,f,282.0,428.0,t,la Dreta de l'Eixample,41.39073181152344,2.164210081100464,Entire rental unit,Entire home/apt,4,1.0,2.0,$164.00,3,1125,1.0,5.0,1125.0,1125.0,4.3,1125.0,13,36,66,341,304,41,3,84,39,246,40344.0,4.59,4.61,4.63,4.74,4.83,4.97,4.39,t,130,2.37
99%,94%,f,282.0,428.0,t,la Dreta de l'Eixample,41.39073181152344,2.164210081100464,Entire rental unit,Entire home/apt,4,1.0,2.0,$175.00,3,1125,1.0,5.0,1125.0,1125.0,4.3,1125.0,7,33,59,334,292,36,5,77,25,216,37800.0,4.53,4.53,4.53,4.71,4.76,4.97,4.39,t,130,2.35
100%,100%,f,1.0,3.0,t,Sant Antoni,41.37527,2.15533,Private room in rental unit,Private room,1,1.0,1.0,$66.00,1,7,1.0,1.0,7.0,7.0,1.0,7.0,13,43,73,348,34,2,2,91,0,12,792.0,4.65,4.67,4.82,4.85,4.85,4.73,4.58,f,1,0.27
100%,98%,f,1.0,2.0,t,el Barri GÃ²tic,41.37915,2.17658,Entire rental unit,Entire home/apt,4,1.0,2.0,$119.00,1,25,1.0,1.0,25.0,25.0,1.0,25.0,6,19,47,317,12,12,5,63,0,72,8568.0,4.67,4.75,4.5,4.83,4.92,4.67,4.58,f,1,6.0
100%,99%,t,10.0,13.0,t,la Dreta de l'Eixample,41.3996,2.17307,Entire rental unit,Entire home/apt,2,1.0,2.0,$75.00,34,120,34.0,35.0,1125.0,1125.0,34.5,1125.0,7,21,51,159,189,3,0,69,5,204,15300.0,4.79,4.88,4.72,4.95,4.96,4.78,4.74,f,8,1.47
100%,82%,t,1.0,2.0,t,el Fort Pienc,41.4014,2.1846,Entire condo,Entire home/apt,2,1.0,1.0,$187.00,3,1125,2.0,3.0,1125.0,1125.0,3.0,1125.0,2,20,50,80,406,43,2,69,39,255,47685.0,4.91,4.93,4.86,4.94,4.96,4.75,4.79,f,1,3.17
100%,98%,t,36.0,38.0,t,la Dreta de l'Eixample,41.39569,2.16735,Entire rental unit,Entire home/apt,8,3.0,3.0,$288.00,1,1125,1.0,3.0,365.0,365.0,1.8,365.0,14,44,74,123,120,8,1,92,9,48,13824.0,4.75,4.77,4.75,4.89,4.93,4.93,4.62,t,23,1.05
100%,98%,t,36.0,38.0,t,la Dreta de l'Eixample,41.3957,2.16814,Entire rental unit,Entire home/apt,4,1.0,1.0,$297.00,1,30,1.0,3.0,365.0,365.0,1.8,365.0,11,41,71,120,223,14,1,89,22,84,24948.0,4.82,4.87,4.83,4.96,4.95,4.88,4.64,t,23,1.82
100%,100%,t,1.0,1.0,t,Hostafrancs,41.37371,2.14612,Entire rental unit,Entire home/apt,4,1.0,3.0,$156.00,4,7,1.0,4.0,7.0,7.0,4.0,7.0,5,26,51,202,82,24,2,67,32,192,29952.0,4.83,4.89,4.84,4.95,4.95,4.85,4.57,f,1,0.82
100%,68%,f,4.0,4.0,t,el Raval,41.38131,2.17233,Private room in rental unit,Private room,2,1.0,2.0,$55.00,32,32,17.0,32.0,32.0,32.0,31.2,32.0,14,31,31,31,320,3,0,31,0,192,10560.0,4.74,4.79,4.87,4.88,4.77,4.93,4.71,f,2,2.49
100%,100%,t,1.0,1.0,t,la Vila de GrÃ cia,41.40083,2.15206,Entire rental unit,Entire home/apt,2,1.0,1.0,$95.00,5,1125,2.0,3.0,1125.0,1125.0,3.0,1125.0,4,27,57,332,282,41,3,75,37,255,24225.0,4.74,4.81,4.63,4.85,4.96,4.9,4.65,f,1,2.2
100%,99%,t,10.0,13.0,t,la Dreta de l'Eixample,41.3996,2.17307,Entire rental unit,Entire home/apt,4,2.0,3.0,$242.00,4,90,4.0,4.0,1125.0,1125.0,4.0,1125.0,8,25,55,62,200,43,2,62,43,255,61710.0,4.83,4.86,4.79,4.96,4.92,4.79,4.67,f,8,1.6
100%,64%,t,1.0,1.0,t,Sants,41.3803,2.14283,Private room in rental unit,Private room,1,1.0,1.0,$41.00,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,0,1,1,139,47,3,1,1,4,186,7626.0,4.91,4.89,4.68,4.94,4.94,4.98,4.83,f,1,0.38
100%,99%,f,40.0,111.0,t,el Putxet i el FarrÃ³,41.40492,2.14124,Entire rental unit,Entire home/apt,4,2.0,3.0,$164.00,1,1125,2.0,7.0,365.0,365.0,6.6,365.0,11,34,62,80,105,24,1,80,26,144,23616.0,4.39,4.32,4.33,4.6,4.63,4.33,4.14,t,40,0.96
100%,97%,t,7.0,7.0,t,Sants,41.37382,2.13713,Entire rental unit,Entire home/apt,2,1.0,1.0,$145.00,3,28,1.0,3.0,28.0,28.0,3.0,28.0,4,12,34,54,267,27,2,52,40,162,23490.0,4.86,4.92,4.94,4.97,4.98,4.82,4.78,f,6,2.08
100%,100%,f,1.0,1.0,t,l'Antiga Esquerra de l'Eixample,41.38852,2.15846,Private room in rental unit,Private room,1,1.0,1.0,$54.00,7,30,1.0,8.0,1125.0,1125.0,6.9,1125.0,7,13,13,24,89,3,2,13,0,42,2268.0,4.92,4.9,4.91,4.98,4.96,4.92,4.85,f,1,0.69
100%,96%,t,1.0,1.0,t,Sant Antoni,41.37592,2.15416,Entire rental unit,Entire home/apt,3,2.0,3.0,$165.00,4,60,2.0,4.0,60.0,60.0,3.8,60.0,5,17,36,271,202,46,3,43,50,255,42075.0,4.93,4.9,4.95,4.95,4.97,4.88,4.84,f,1,1.74
100%,97%,f,15.0,40.0,t,la Sagrada FamÃ­lia,41.41108,2.17422,Entire condo,Entire home/apt,2,1.0,1.0,$158.00,3,60,1.0,4.0,999.0,999.0,3.8,999.0,9,21,38,208,279,31,2,56,27,186,29388.0,4.78,4.87,4.79,4.93,4.92,4.86,4.66,f,15,2.22
100%,69%,f,2.0,2.0,t,el Poble Sec,41.37226,2.17235,Entire rental unit,Entire home/apt,4,2.0,3.0,$104.00,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,0,7,37,268,243,25,2,37,30,150,15600.0,4.59,4.7,4.71,4.69,4.7,4.74,4.62,f,2,1.9
100%,72%,t,3.0,5.0,t,la Vila OlÃ­mpica del Poblenou,41.39349,2.19327,Entire rental unit,Entire home/apt,4,2.0,4.0,$283.00,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,7,15,39,293,50,8,0,54,4,48,13584.0,4.72,4.88,4.74,4.84,4.92,4.84,4.62,f,3,0.49
100%,100%,t,33.0,38.0,t,la Dreta de l'Eixample,41.38891,2.16579,Entire rental unit,Entire home/apt,16,9.0,15.0,$509.00,1,365,1.0,5.0,999.0,999.0,3.0,999.0,10,18,42,297,233,30,3,52,32,180,91620.0,4.73,4.75,4.72,4.86,4.88,4.97,4.58,t,6,1.83
